timestamp_s;timestamp_origin;sd_block_id;cyc_charged;is_rt;soc_nom;age_type;age_temp;age_soc;age_chg_rate;age_dischg_rate;age_profile;t_avg_degC;r_ref_10ms_mOhm;r_ref_1s_mOhm;uptime_ticks;seq_nr;v_raw_V;i_raw_A
1665657806.000;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;0;3.3444;0.0010
1665657806.001;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;1;3.3580;0.8120
1665657806.003;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;2;3.3630;1.0010
1665657806.010;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;3;3.3649;0.9980
1665657806.030;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;4;3.3675;1.0000
1665657806.100;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;5;3.3699;1.0020
1665657806.300;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;6;3.3714;1.0000
1665657807.000;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;7;3.3727;0.9980
1665657809.000;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;8;3.3769;1.0020
1665657816.000;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;9;3.3855;0.9960
1665657816.001;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;10;3.3630;-0.3360
1665657816.003;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;11;3.3494;-0.9290
1665657816.010;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;12;3.3439;-0.9930
1665657816.030;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;13;3.3397;-0.9990
1665657816.100;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;14;3.3349;-1.0000
1665657816.300;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;15;3.3322;-0.9950
1665657817.000;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;16;3.3280;-1.0040
1665657819.000;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;17;3.3230;-1.0000
1665657826.000;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;18;3.3116;-0.9960
1665657826.001;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;19;3.3218;-0.3510
1665657826.003;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;20;3.3287;-0.0440
1665657826.010;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;21;3.3317;0.0020
1665657826.030;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;22;3.3342;0.0050
1665657826.100;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;23;3.3365;0.0020
1665657826.300;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;24;3.3384;-0.0040
1665657827.000;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;25;3.3393;0.0000
1665657829.000;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;26;3.3407;-0.0020
1665657836.000;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;27;3.3425;-0.0030
1665657836.001;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;28;3.3539;0.6890
1665657836.003;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;29;3.3612;0.9860
1665657836.010;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;30;3.3632;1.0000
1665657836.030;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;31;3.3655;1.0000
1665657836.100;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;32;3.3678;1.0020
1665657836.300;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;33;3.3698;0.9960
1665657837.000;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;34;3.3714;0.9970
1665657839.000;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;35;3.3760;0.9990
1665657846.000;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;36;3.3848;1.0000
1665657866.000;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;37;3.4027;1.0040
1665657896.000;1;82429952;1;1;10;1;0;50;0.00;0.00;0;24.93;20.599;25.532;333521;38;3.4220;1.0030
