timestamp_s;timestamp_origin;sd_block_id;cyc_charged;is_rt;soc_nom;age_type;age_temp;age_soc;age_chg_rate;age_dischg_rate;age_profile;t_avg_degC;r_ref_10ms_mOhm;r_ref_1s_mOhm;uptime_ticks;seq_nr;v_raw_V;i_raw_A
1665636039.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;0;3.3825;0.0010
1665636039.001;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;1;3.3959;0.8280
1665636039.003;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;2;3.4004;0.9930
1665636039.010;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;3;3.4025;1.0000
1665636039.030;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;4;3.4040;0.9940
1665636039.100;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;5;3.4059;1.0020
1665636039.300;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;6;3.4069;0.9980
1665636040.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;7;3.4088;0.9980
1665636042.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;8;3.4120;0.9970
1665636049.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;9;3.4194;1.0050
1665636049.001;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;10;3.3977;-0.3520
1665636049.003;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;11;3.3846;-0.9460
1665636049.010;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;12;3.3799;-1.0000
1665636049.030;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;13;3.3758;-1.0040
1665636049.100;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;14;3.3731;-1.0010
1665636049.300;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;15;3.3712;-1.0010
1665636050.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;16;3.3684;-1.0000
1665636052.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;17;3.3631;-1.0020
1665636059.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;18;3.3525;-0.9990
1665636059.001;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;19;3.3640;-0.3220
1665636059.003;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;20;3.3702;-0.0330
1665636059.010;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;21;3.3724;0.0020
1665636059.030;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;22;3.3749;-0.0040
1665636059.100;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;23;3.3762;0.0030
1665636059.300;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;24;3.3774;0.0020
1665636060.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;25;3.3784;0.0030
1665636062.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;26;3.3795;0.0060
1665636069.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;27;3.3807;0.0020
1665636069.001;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;28;3.3927;0.6910
1665636069.003;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;29;3.3990;0.9860
1665636069.010;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;30;3.4010;0.9960
1665636069.030;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;31;3.4029;1.0000
1665636069.100;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;32;3.4045;0.9980
1665636069.300;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;33;3.4058;0.9970
1665636070.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;34;3.4073;1.0010
1665636072.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;35;3.4108;0.9970
1665636079.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;36;3.4192;1.0040
1665636099.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;37;3.4343;1.0000
1665636129.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;38;3.4504;0.9970
1665636129.001;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;39;3.4277;-0.3590
1665636129.003;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;40;3.4148;-0.9430
1665636129.010;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;41;3.4107;-0.9940
1665636129.030;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;42;3.4068;-1.0040
1665636129.100;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;43;3.4040;-0.9930
1665636129.300;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;44;3.4023;-1.0060
1665636130.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;45;3.3999;-1.0020
1665636132.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;46;3.3948;-0.9950
1665636139.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;47;3.3835;-0.9940
1665636159.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;48;3.3631;-1.0000
1665636189.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;49;3.3410;-1.0010
1665636189.001;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;50;3.3522;-0.3210
1665636189.003;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;51;3.3584;-0.0350
1665636189.010;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;52;3.3614;0.0020
1665636189.030;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;53;3.3628;-0.0010
1665636189.100;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;54;3.3650;0.0020
1665636189.300;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;55;3.3660;-0.0010
1665636190.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;56;3.3677;-0.0030
1665636192.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;57;3.3699;0.0000
1665636199.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;58;3.3734;0.0050
1665636219.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;59;3.3779;0.0010
1665636249.000;1;78387712;1;1;10;1;0;90;0.00;0.00;0;25.02;20.062;23.388;4048312;60;3.3808;0.0040
1665645910.000;1;80933888;1;1;30;1;0;90;0.00;0.00;0;25.06;18.275;19.282;4989746;0;3.5965;-0.0010
1665645910.001;1;80933888;1;1;30;1;0;90;0.00;0.00;0;25.06;18.275;19.282;4989746;1;3.6103;0.8400
1665645910.003;1;80933888;1;1;30;1;0;90;0.00;0.00;0;25.06;18.275;19.282;4989746;2;3.6142;0.9950
1665645910.010;1;80933888;1;1;30;1;0;90;0.00;0.00;0;25.06;18.275;19.282;4989746;3;3.6148;1.0020
1665645910.030;1;80933888;1;1;30;1;0;90;0.00;0.00;0;25.06;18.275;19.282;4989746;4;3.6152;0.9980
1665645910.100;1;80933888;1;1;30;1;0;90;0.00;0.00;0;25.06;18.275;19.282;4989746;5;3.6159;1.0030
1665645910.300;1;80933888;1;1;30;1;0;90;0.00;0.00;0;25.06;18.275;19.282;4989746;6;3.6159;0.9980
1665645911.000;1;80933888;1;1;30;1;0;90;0.00;0.00;0;25.06;18.275;19.282;4989746;7;3.6176;1.0040
1665645913.000;1;80933888;1;1;30;1;0;90;0.00;0.00;0;25.06;18.275;19.282;4989746;8;3.6195;1.0020
1665645920.000;1;80933888;1;1;30;1;0;90;0.00;0.00;0;25.06;18.275;19.282;4989746;9;3.6235;0.9990
