timestamp_s;timestamp_origin;sd_block_id;cyc_charged;is_rt;soc_nom;age_type;age_temp;age_soc;age_chg_rate;age_dischg_rate;age_profile;t_avg_degC;r_ref_10ms_mOhm;r_ref_1s_mOhm;uptime_ticks;seq_nr;v_raw_V;i_raw_A
1665634445.000;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;0;3.3856;-0.0010
1665634445.001;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;1;3.4001;0.8160
1665634445.003;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;2;3.4040;0.9950
1665634445.010;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;3;3.4060;0.9990
1665634445.030;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;4;3.4082;0.9980
1665634445.100;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;5;3.4100;1.0040
1665634445.300;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;6;3.4105;0.9960
1665634446.000;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;7;3.4127;1.0000
1665634448.000;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;8;3.4159;1.0040
1665634455.000;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;9;3.4238;1.0030
1665634455.001;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;10;3.4015;-0.3370
1665634455.003;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;11;3.3883;-0.9370
1665634455.010;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;12;3.3828;-1.0030
1665634455.030;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;13;3.3795;-0.9990
1665634455.100;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;14;3.3760;-0.9990
1665634455.300;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;15;3.3738;-0.9980
1665634456.000;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;16;3.3708;-1.0000
1665634458.000;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;17;3.3666;-0.9990
1665634465.000;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;18;3.3557;-0.9940
1665634465.001;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;19;3.3667;-0.3490
1665634465.003;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;20;3.3736;-0.0400
1665634465.010;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;21;3.3764;-0.0030
1665634465.030;1;77976576;1;1;10;1;0;50;0.00;0.00;0;24.96;20.467;24.257;3896429;22;3.3782;0.0030
