timestamp_s;timestamp_origin;sd_block_id;cyc_charged;is_rt;soc_nom;age_type;age_temp;age_soc;age_chg_rate;age_dischg_rate;age_profile;t_avg_degC;r_ref_10ms_mOhm;r_ref_1s_mOhm;uptime_ticks;seq_nr;v_raw_V;i_raw_A
1665658700.000;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;0;3.3432;0.0010
1665658700.001;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;1;3.3567;0.7930
1665658700.003;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;2;3.3624;0.9890
1665658700.010;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;3;3.3643;0.9940
1665658700.030;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;4;3.3661;1.0040
1665658700.100;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;5;3.3683;0.9990
1665658700.300;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;6;3.3697;1.0000
1665658701.000;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;7;3.3722;0.9990
1665658703.000;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;8;3.3756;1.0000
1665658710.000;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;9;3.3847;1.0010
1665658710.001;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;10;3.3615;-0.3370
1665658710.003;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;11;3.3479;-0.9380
1665658710.010;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;12;3.3425;-0.9980
1665658710.030;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;13;3.3392;-0.9970
1665658710.100;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;14;3.3347;-0.9920
1665658710.300;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;15;3.3318;-1.0020
1665658711.000;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;16;3.3285;-1.0010
1665658713.000;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;17;3.3228;-1.0030
1665658720.000;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;18;3.3104;-1.0050
1665658720.001;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;19;3.3225;-0.3390
1665658720.003;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;20;3.3287;-0.0420
1665658720.010;1;84173312;1;1;10;1;0;100;0.00;0.00;0;24.91;21.216;25.172;420941;21;3.3325;-0.0020
