timestamp_s;timestamp_origin;sd_block_id;cyc_charged;is_rt;soc_nom;age_type;age_temp;age_soc;age_chg_rate;age_dischg_rate;age_profile;t_avg_degC;r_ref_10ms_mOhm;r_ref_1s_mOhm;uptime_ticks;seq_nr;v_raw_V;i_raw_A
1665659526.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;0;3.3449;0.0010
1665659526.001;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;1;3.3583;0.7870
1665659526.003;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;2;3.3633;0.9860
1665659526.010;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;3;3.3661;0.9970
1665659526.030;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;4;3.3683;1.0020
1665659526.100;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;5;3.3696;0.9980
1665659526.300;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;6;3.3710;0.9970
1665659527.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;7;3.3731;0.9950
1665659529.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;8;3.3769;1.0040
1665659536.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;9;3.3863;0.9970
1665659536.001;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;10;3.3630;-0.3420
1665659536.003;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;11;3.3501;-0.9300
1665659536.010;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;12;3.3440;-0.9930
1665659536.030;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;13;3.3398;-1.0000
1665659536.100;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;14;3.3359;-0.9960
1665659536.300;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;15;3.3336;-0.9960
1665659537.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;16;3.3306;-0.9960
1665659539.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;17;3.3241;-0.9990
1665659546.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;18;3.3124;-1.0010
1665659546.001;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;19;3.3238;-0.3470
1665659546.003;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;20;3.3309;-0.0440
1665659546.010;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;21;3.3335;-0.0020
1665659546.030;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;22;3.3359;-0.0010
1665659546.100;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;23;3.3379;-0.0020
1665659546.300;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;24;3.3393;-0.0030
1665659547.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;25;3.3410;0.0030
1665659549.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;26;3.3418;0.0030
1665659556.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;27;3.3433;-0.0020
1665659556.001;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;28;3.3551;0.6960
1665659556.003;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;29;3.3622;0.9860
1665659556.010;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;30;3.3646;1.0000
1665659556.030;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;31;3.3661;1.0000
1665659556.100;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;32;3.3686;1.0030
1665659556.300;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;33;3.3697;0.9990
1665659557.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;34;3.3721;1.0000
1665659559.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;35;3.3761;1.0030
1665659566.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;36;3.3850;0.9980
1665659586.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;37;3.4030;0.9990
1665659616.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;38;3.4229;0.9980
1665659616.001;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;39;3.4003;-0.3450
1665659616.003;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;40;3.3869;-0.9260
1665659616.010;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;41;3.3814;-1.0010
1665659616.030;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;42;3.3773;-0.9960
1665659616.100;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;43;3.3743;-0.9980
1665659616.300;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;44;3.3727;-0.9920
1665659617.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;45;3.3692;-0.9930
1665659619.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;46;3.3629;-1.0030
1665659626.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;47;3.3497;-1.0010
1665659646.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;48;3.3258;-0.9990
1665659676.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;49;3.3002;-1.0010
1665659676.001;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;50;3.3116;-0.3520
1665659676.003;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;51;3.3184;-0.0390
1665659676.010;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;52;3.3216;-0.0020
1665659676.030;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;53;3.3243;-0.0020
1665659676.100;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;54;3.3254;0.0010
1665659676.300;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;55;3.3275;0.0000
1665659677.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;56;3.3295;0.0010
1665659679.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;57;3.3314;-0.0030
1665659686.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;58;3.3359;-0.0010
1665659706.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;59;3.3403;0.0000
1665659736.000;1;84386304;1;1;10;1;0;50;0.00;0.00;0;25.00;21.379;24.879;499686;60;3.3427;-0.0070
1665669667.000;1;87001600;1;1;30;1;0;50;0.00;0.00;0;25.08;19.130;19.577;1466929;0;3.5968;0.0000
1665669667.001;1;87001600;1;1;30;1;0;50;0.00;0.00;0;25.08;19.130;19.577;1466929;1;3.6102;0.7910
1665669667.003;1;87001600;1;1;30;1;0;50;0.00;0.00;0;25.08;19.130;19.577;1466929;2;3.6151;0.9910
1665669667.010;1;87001600;1;1;30;1;0;50;0.00;0.00;0;25.08;19.130;19.577;1466929;3;3.6158;0.9940
1665669667.030;1;87001600;1;1;30;1;0;50;0.00;0.00;0;25.08;19.130;19.577;1466929;4;3.6167;1.0100
1665669667.100;1;87001600;1;1;30;1;0;50;0.00;0.00;0;25.08;19.130;19.577;1466929;5;3.6165;1.0060
1665669667.300;1;87001600;1;1;30;1;0;50;0.00;0.00;0;25.08;19.130;19.577;1466929;6;3.6174;1.0040
1665669668.000;1;87001600;1;1;30;1;0;50;0.00;0.00;0;25.08;19.130;19.577;1466929;7;3.6187;1.0030
1665669670.000;1;87001600;1;1;30;1;0;50;0.00;0.00;0;25.08;19.130;19.577;1466929;8;3.6202;0.9940
1665669677.000;1;87001600;1;1;30;1;0;50;0.00;0.00;0;25.08;19.130;19.577;1466929;9;3.6248;1.0010
