timestamp_s;timestamp_origin;sd_block_id;cyc_charged;is_rt;soc_nom;age_type;age_temp;age_soc;age_chg_rate;age_dischg_rate;age_profile;t_avg_degC;r_ref_10ms_mOhm;r_ref_1s_mOhm;uptime_ticks;seq_nr;v_raw_V;i_raw_A
1665657290.000;1;83810304;1;1;10;1;10;90;0.00;0.00;0;24.86;20.873;25.223;272415;0;3.3420;0.0000
1665657290.001;1;83810304;1;1;10;1;10;90;0.00;0.00;0;24.86;20.873;25.223;272415;1;3.3567;0.8360
1665657290.003;1;83810304;1;1;10;1;10;90;0.00;0.00;0;24.86;20.873;25.223;272415;2;3.3606;0.9940
1665657290.010;1;83810304;1;1;10;1;10;90;0.00;0.00;0;24.86;20.873;25.223;272415;3;3.3630;1.0060
1665657290.030;1;83810304;1;1;10;1;10;90;0.00;0.00;0;24.86;20.873;25.223;272415;4;3.3658;1.0040
1665657290.100;1;83810304;1;1;10;1;10;90;0.00;0.00;0;24.86;20.873;25.223;272415;5;3.3672;1.0020
1665657290.300;1;83810304;1;1;10;1;10;90;0.00;0.00;0;24.86;20.873;25.223;272415;6;3.3684;1.0010
1665657291.000;1;83810304;1;1;10;1;10;90;0.00;0.00;0;24.86;20.873;25.223;272415;7;3.3709;0.9990
1665657293.000;1;83810304;1;1;10;1;10;90;0.00;0.00;0;24.86;20.873;25.223;272415;8;3.3739;1.0000
1665657300.000;1;83810304;1;1;10;1;10;90;0.00;0.00;0;24.86;20.873;25.223;272415;9;3.3826;1.0020
1665657300.001;1;83810304;1;1;10;1;10;90;0.00;0.00;0;24.86;20.873;25.223;272415;10;3.3601;-0.3330
1665657300.003;1;83810304;1;1;10;1;10;90;0.00;0.00;0;24.86;20.873;25.223;272415;11;3.3463;-0.9400
1665657300.010;1;83810304;1;1;10;1;10;90;0.00;0.00;0;24.86;20.873;25.223;272415;12;3.3413;-1.0020
1665657300.030;1;83810304;1;1;10;1;10;90;0.00;0.00;0;24.86;20.873;25.223;272415;13;3.3368;-0.9970
1665657300.100;1;83810304;1;1;10;1;10;90;0.00;0.00;0;24.86;20.873;25.223;272415;14;3.3334;-0.9980
1665657300.300;1;83810304;1;1;10;1;10;90;0.00;0.00;0;24.86;20.873;25.223;272415;15;3.3308;-1.0010
