timestamp_s;timestamp_origin;sd_block_id;cyc_charged;is_rt;soc_nom;age_type;age_temp;age_soc;age_chg_rate;age_dischg_rate;age_profile;t_avg_degC;r_ref_10ms_mOhm;r_ref_1s_mOhm;uptime_ticks;seq_nr;v_raw_V;i_raw_A
1665633981.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;0;3.3860;-0.0010
1665633981.001;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;1;3.3998;0.8130
1665633981.003;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;2;3.4043;0.9930
1665633981.010;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;3;3.4062;0.9950
1665633981.030;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;4;3.4084;1.0030
1665633981.100;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;5;3.4095;1.0010
1665633981.300;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;6;3.4106;1.0010
1665633982.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;7;3.4124;0.9990
1665633984.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;8;3.4159;1.0040
1665633991.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;9;3.4235;1.0010
1665633991.001;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;10;3.4010;-0.3380
1665633991.003;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;11;3.3882;-0.9370
1665633991.010;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;12;3.3827;-0.9990
1665633991.030;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;13;3.3791;-0.9970
1665633991.100;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;14;3.3764;-1.0010
1665633991.300;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;15;3.3747;-0.9990
1665633992.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;16;3.3715;-0.9980
1665633994.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;17;3.3668;-1.0000
1665634001.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;18;3.3566;-0.9980
1665634001.001;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;19;3.3672;-0.3450
1665634001.003;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;20;3.3737;-0.0420
1665634001.010;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;21;3.3767;0.0000
1665634001.030;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;22;3.3784;-0.0010
1665634001.100;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;23;3.3797;-0.0040
1665634001.300;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;24;3.3811;0.0010
1665634002.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;25;3.3823;0.0010
1665634004.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;26;3.3837;0.0000
1665634011.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;27;3.3845;0.0020
1665634011.001;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;28;3.3957;0.6860
1665634011.003;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;29;3.4024;0.9860
1665634011.010;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;30;3.4047;0.9990
1665634011.030;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;31;3.4062;0.9960
1665634011.100;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;32;3.4082;1.0040
1665634011.300;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;33;3.4093;0.9990
1665634012.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;34;3.4114;1.0060
1665634014.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;35;3.4143;1.0020
1665634021.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;36;3.4228;1.0020
1665634041.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;37;3.4380;1.0010
1665634071.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;38;3.4518;0.9950
1665634071.001;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;39;3.4297;-0.3490
1665634071.003;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;40;3.4169;-0.9340
1665634071.010;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;41;3.4119;-1.0020
1665634071.030;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;42;3.4089;-0.9980
1665634071.100;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;43;3.4065;-0.9920
1665634071.300;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;44;3.4049;-1.0040
1665634072.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;45;3.4018;-1.0020
1665634074.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;46;3.3968;-1.0020
1665634081.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;47;3.3860;-1.0080
1665634101.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;48;3.3659;-0.9980
1665634131.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;49;3.3447;-0.9990
1665634131.001;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;50;3.3557;-0.3490
1665634131.003;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;51;3.3622;-0.0420
1665634131.010;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;52;3.3648;0.0010
1665634131.030;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;53;3.3666;0.0010
1665634131.100;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;54;3.3686;-0.0040
1665634131.300;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;55;3.3693;-0.0070
1665634132.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;56;3.3712;-0.0010
1665634134.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;57;3.3727;0.0010
1665634141.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;58;3.3766;-0.0030
1665634161.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;59;3.3815;0.0000
1665634191.000;1;77846528;1;1;10;1;0;10;0.00;0.00;0;25.05;20.338;23.433;3852123;60;3.3839;0.0020
1665644098.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;0;3.5970;0.0000
1665644098.001;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;1;3.6101;0.8100
1665644098.003;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;2;3.6143;0.9910
1665644098.010;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;3;3.6153;0.9960
1665644098.030;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;4;3.6155;0.9970
1665644098.100;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;5;3.6157;1.0010
1665644098.300;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;6;3.6171;1.0030
1665644099.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;7;3.6181;0.9990
1665644101.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;8;3.6201;1.0040
1665644108.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;9;3.6246;0.9990
1665644108.001;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;10;3.6031;-0.3490
1665644108.003;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;11;3.5900;-0.9310
1665644108.010;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;12;3.5873;-1.0060
1665644108.030;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;13;3.5867;-0.9980
1665644108.100;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;14;3.5866;-0.9990
1665644108.300;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;15;3.5847;-1.0050
1665644109.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;16;3.5826;-0.9950
1665644111.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;17;3.5796;-1.0010
1665644118.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;18;3.5737;-1.0000
1665644118.001;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;19;3.5848;-0.3460
1665644118.003;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;20;3.5908;-0.0390
1665644118.010;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;21;3.5923;-0.0020
1665644118.030;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;22;3.5927;0.0000
1665644118.100;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;23;3.5933;0.0030
1665644118.300;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;24;3.5931;0.0000
1665644119.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;25;3.5945;-0.0010
1665644121.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;26;3.5951;-0.0010
1665644128.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;27;3.5965;0.0030
1665644128.001;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;28;3.6075;0.6930
1665644128.003;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;29;3.6130;0.9840
1665644128.010;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;30;3.6146;1.0050
1665644128.030;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;31;3.6146;1.0020
1665644128.100;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;32;3.6148;0.9940
1665644128.300;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;33;3.6155;1.0040
1665644129.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;34;3.6170;1.0030
1665644131.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;35;3.6191;0.9980
1665644138.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;36;3.6239;0.9950
1665644158.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;37;3.6317;1.0060
1665644188.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;38;3.6381;0.9890
1665644188.001;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;39;3.6164;-0.3530
1665644188.003;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;40;3.6040;-0.9380
1665644188.010;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;41;3.6010;-1.0110
1665644188.030;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;42;3.6004;-1.0030
1665644188.100;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;43;3.6002;-0.9990
1665644188.300;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;44;3.5986;-1.0110
1665644189.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;45;3.5967;-1.0080
1665644191.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;46;3.5934;-1.0090
1665644198.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;47;3.5853;-1.0010
1665644218.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;48;3.5747;-0.9990
1665644248.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;49;3.5650;-1.0020
1665644248.001;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;50;3.5754;-0.3470
1665644248.003;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;51;3.5822;-0.0330
1665644248.010;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;52;3.5838;0.0070
1665644248.030;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;53;3.5846;0.0070
1665644248.100;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;54;3.5846;0.0070
1665644248.300;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;55;3.5849;0.0060
1665644249.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;56;3.5859;0.0040
1665644251.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;57;3.5869;0.0030
1665644258.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;58;3.5901;-0.0030
1665644278.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;59;3.5936;0.0000
1665644308.000;1;80455680;1;1;30;1;0;10;0.00;0.00;0;24.94;18.332;18.656;4817097;60;3.5949;0.0040
1665662362.000;1;85138944;1;1;10;1;0;10;0.00;0.00;0;25.06;20.991;23.967;765533;0;3.3012;-0.0010
1665662362.001;1;85138944;1;1;10;1;0;10;0.00;0.00;0;25.06;20.991;23.967;765533;1;3.3153;0.8120
1665662362.003;1;85138944;1;1;10;1;0;10;0.00;0.00;0;25.06;20.991;23.967;765533;2;3.3203;0.9960
1665662362.010;1;85138944;1;1;10;1;0;10;0.00;0.00;0;25.06;20.991;23.967;765533;3;3.3223;1.0030
1665662362.030;1;85138944;1;1;10;1;0;10;0.00;0.00;0;25.06;20.991;23.967;765533;4;3.3241;1.0020
1665662362.100;1;85138944;1;1;10;1;0;10;0.00;0.00;0;25.06;20.991;23.967;765533;5;3.3253;1.0040
1665662362.300;1;85138944;1;1;10;1;0;10;0.00;0.00;0;25.06;20.991;23.967;765533;6;3.3263;0.9990
1665662363.000;1;85138944;1;1;10;1;0;10;0.00;0.00;0;25.06;20.991;23.967;765533;7;3.3286;1.0060
1665662365.000;1;85138944;1;1;10;1;0;10;0.00;0.00;0;25.06;20.991;23.967;765533;8;3.3324;1.0010
1665662372.000;1;85138944;1;1;10;1;0;10;0.00;0.00;0;25.06;20.991;23.967;765533;9;3.3418;1.0020
1665662372.001;1;85138944;1;1;10;1;0;10;0.00;0.00;0;25.06;20.991;23.967;765533;10;3.3197;-0.3350
1665662372.003;1;85138944;1;1;10;1;0;10;0.00;0.00;0;25.06;20.991;23.967;765533;11;3.3063;-0.9400
1665662372.010;1;85138944;1;1;10;1;0;10;0.00;0.00;0;25.06;20.991;23.967;765533;12;3.3015;-0.9970
1665662372.030;1;85138944;1;1;10;1;0;10;0.00;0.00;0;25.06;20.991;23.967;765533;13;3.2980;-0.9990
1665662372.100;1;85138944;1;1;10;1;0;10;0.00;0.00;0;25.06;20.991;23.967;765533;14;3.2948;-1.0060
1665662372.300;1;85138944;1;1;10;1;0;10;0.00;0.00;0;25.06;20.991;23.967;765533;15;3.2934;-1.0020
1665662373.000;1;85138944;1;1;10;1;0;10;0.00;0.00;0;25.06;20.991;23.967;765533;16;3.2897;-1.0050
