diag,freq_Hz,re_z_ohm_20pct,re_z_ohm_50pct,re_z_ohm_80pct,im_z_ohm_20pct,im_z_ohm_50pct,im_z_ohm_80pct
1,10019.530273,0.028659537434577942,0.02861754409968853,0.028639821335673332,0.0364491268992424,0.03651082515716553,0.0365365631878376
1,4630.334961,0.02391478419303894,0.023827042430639267,0.02377023734152317,0.018263058736920357,0.018295563757419586,0.01830250769853592
1,2141.204102,0.02230832166969776,0.022204019129276276,0.022142469882965088,0.00818505696952343,0.008220239542424679,0.008272705599665642
1,1000.702026,0.022381434217095375,0.022280113771557808,0.022192340344190598,0.003016516799107194,0.0030631956178694963,0.0031222430989146233
1,463.598907,0.02307288721203804,0.022940004244446754,0.022815274074673653,0.0004713049565907568,0.000598078069742769,0.0006559578469023108
1,215.022903,0.023946695029735565,0.023725522682070732,0.023561110720038414,-0.0006307195872068405,-0.0003883114259224385,-0.00034928321838378906
1,99.734001,0.02478434331715107,0.024404561147093773,0.024262193590402603,-0.0009540657047182322,-0.0005943966098129749,-0.0005914184730499983
1,45.955879,0.02544158138334751,0.02478913590312004,0.024659518152475357,-0.0008625614573247731,-0.0005011199973523617,-0.0005431691533885896
1,21.502291,0.025827888399362564,0.024995118379592896,0.02491782419383526,-0.0006433128146454692,-0.0003661421069409698,-0.00038521093665622175
1,9.9734,0.026026185601949692,0.025159019976854324,0.025072218850255013,-0.000445671466877684,-0.00029081208049319685,-0.0003382095310371369
1,4.650298,0.026227302849292755,0.02516946755349636,0.025131218135356903,-0.0003619608760345727,-0.0002777721092570573,-0.00037395700928755105
1,2.170139,0.026283452287316322,0.02524225041270256,0.02523171529173851,-0.00035122933331876993,-0.0003792636562138796,-0.0004427876847330481
1,0.997765,0.02650122158229351,0.02545744925737381,0.0254049189388752,-0.0004416138108354062,-0.00048135677934624255,-0.0006247889250516891
1,0.46503,0.026639582589268684,0.025669725611805916,0.02570614218711853,-0.0006371677736751735,-0.0008193536777980626,-0.0010003717616200447
1,0.216213,0.02691282518208027,0.02607671730220318,0.02617497928440571,-0.0010054776212200522,-0.0011799575295299292,-0.0015562359476462007
1,0.10016,0.027326226234436035,0.026622775942087173,0.026929428800940514,-0.00156841438729316,-0.0017480255337432027,-0.0022648274898529053
1,0.046429,0.027973627671599388,0.027415338903665543,0.028002314269542694,-0.0024896690156310797,-0.0025426920037716627,-0.0033492587972432375
1,0.02155,0.028938090428709984,0.028403662145137787,0.029421653598546982,-0.004045514855533838,-0.003911318723112345,-0.00499768415465951
1,0.010001,0.030588502064347267,0.029850222170352936,0.031459081918001175,-0.006674349308013916,-0.00632128119468689,-0.007710884790867567
2,10019.530273,0.02897668443620205,0.029010768979787827,0.028918761759996414,0.0363340862095356,0.036357298493385315,0.03634008392691612
2,4630.334961,0.02423466183245182,0.02415127120912075,0.024059440940618515,0.018242374062538147,0.01823023147881031,0.01823725551366806
2,2141.204102,0.02260853350162506,0.022535940632224083,0.022428330034017563,0.00821391586214304,0.008218338713049889,0.008226676844060421
2,1000.702026,0.02264341525733471,0.022564049810171127,0.02246125601232052,0.0030953355599194765,0.003128502983599901,0.0031140686478465796
2,463.598907,0.02324742265045643,0.023185307160019875,0.023079263046383858,0.0005654712440446019,0.0006529472884722054,0.0006387121393345296
2,215.022903,0.0240207239985466,0.02391451969742775,0.023793518543243408,-0.0006112486007623374,-0.0004308289207983762,-0.00043537290184758604
2,99.734001,0.024846969172358513,0.024602817371487617,0.02450726181268692,-0.001133287325501442,-0.0007806855137459934,-0.0008615155820734799
2,45.955879,0.025661539286375046,0.025190874934196472,0.02516619861125946,-0.0012731016613543034,-0.0007487346301786602,-0.0008544482989236712
2,21.502291,0.026433737948536873,0.025549672544002533,0.025581741705536842,-0.0011490294709801674,-0.0005168094066902995,-0.0006656124023720622
2,9.9734,0.026959814131259918,0.025711387395858765,0.025844668969511986,-0.0008685281500220299,-0.00041893019806593657,-0.00044503354001790285
2,4.650298,0.027216950431466103,0.025875959545373917,0.026021217927336693,-0.000610595103353262,-0.0003833995433524251,-0.0003940141759812832
2,2.170139,0.027393732219934464,0.025959724560379982,0.026170626282691956,-0.0005372253945097327,-0.00037269556196406484,-0.0004503082891460508
2,0.997765,0.02766415849328041,0.02611638605594635,0.026372188702225685,-0.0006016463157720864,-0.0005743589717894793,-0.0006970879039727151
2,0.46503,0.027799248695373535,0.02631606161594391,0.02662506327033043,-0.0007094295579008758,-0.0008092087227851152,-0.0010484557133167982
2,0.216213,0.02806546725332737,0.0266934335231781,0.027094734832644463,-0.0010632297489792109,-0.0011408212594687939,-0.0015685593243688345
2,0.10016,0.02851763926446438,0.02722911536693573,0.027814477682113647,-0.0016108864219859242,-0.0016882193740457296,-0.0023156036622822285
2,0.046429,0.02918088249862194,0.02795286476612091,0.02893684059381485,-0.0026953602209687233,-0.0025562101509422064,-0.0034204917028546333
2,0.02155,0.03017914481461048,0.02895990200340748,0.03039538860321045,-0.004399240482598543,-0.003970354329794645,-0.005156619008630514
