diag,freq_Hz,re_z_ohm_20pct,re_z_ohm_50pct,re_z_ohm_80pct,im_z_ohm_20pct,im_z_ohm_50pct,im_z_ohm_80pct
2,10019.530273,0.029723454266786575,0.02961752563714981,0.02952495403587818,0.03609573096036911,0.036167703568935394,0.036088403314352036
2,4630.334961,0.02492385357618332,0.02475614659488201,0.024647090584039688,0.018112359568476677,0.018147746101021767,0.01815969869494438
2,2141.204102,0.02332606352865696,0.0231496412307024,0.023014696314930916,0.008111237548291683,0.008189721032977104,0.008207537233829498
2,1000.702026,0.023387443274259567,0.023175299167633057,0.02303401753306389,0.0030112385284155607,0.003143342910334468,0.003175674472004175
2,463.598907,0.024031920358538628,0.023770706728100777,0.023606134578585625,0.0004989951848983765,0.0007164618582464755,0.0007390156970359385
2,215.022903,0.02482954040169716,0.024454567581415176,0.024255948141217232,-0.0006818253314122558,-0.00033778665238060057,-0.00033782003447413445
2,99.734001,0.025680791586637497,0.025126149877905846,0.024914348497986794,-0.0011889607412740588,-0.0006855316460132599,-0.0007182646077126265
2,45.955879,0.026546956971287727,0.025613078847527504,0.02550520934164524,-0.0013527366099879146,-0.0006124511710368097,-0.0007245854940265417
2,21.502291,0.027329588308930397,0.025900542736053467,0.02587882988154888,-0.0012063442263752222,-0.00049118377501145,-0.0005559115670621395
2,9.9734,0.027882469817996025,0.026060352101922035,0.02609875053167343,-0.0009515355341136456,-0.00030179746681824327,-0.0004119248187635094
2,4.650298,0.02827480062842369,0.02617892622947693,0.02613590657711029,-0.0006726552965119481,-0.0003046377969440073,-0.0003610747226048261
2,2.170139,0.028372295200824738,0.02632143534719944,0.026269089430570602,-0.0006075383862480521,-0.00038829533150419593,-0.0003631760482676327
2,0.997765,0.028529252856969833,0.026433855295181274,0.026474909856915474,-0.0006112217088229954,-0.0004955609911121428,-0.0006900271982885897
2,0.46503,0.028762774541974068,0.02661995403468609,0.026758886873722076,-0.0007594707421958447,-0.0007457912433892488,-0.001006235252134502
2,0.216213,0.029018724337220192,0.027029426768422127,0.027241677045822144,-0.0009956317953765392,-0.0011668371735140681,-0.0015262993983924389
2,0.10016,0.029472477734088898,0.027539953589439392,0.027973489835858345,-0.0015893474919721484,-0.0016493791481480002,-0.002220737049356103
2,0.046429,0.03014937788248062,0.02826373279094696,0.029001815244555473,-0.002614174271002412,-0.002517154673114419,-0.0033241731580346823
2,0.02155,0.03116755746304989,0.029219605028629303,0.030423972755670547,-0.0043213157914578915,-0.003906594589352608,-0.004954195115715265
2,0.010001,0.0328950509428978,0.030794940888881683,0.03246735408902168,-0.00715686846524477,-0.006302190478891134,-0.007659007795155048
3,10019.530273,0.0,0.031248800456523895,0.0311276838183403,0.0,0.03637613728642464,0.03641512989997864
3,4630.334961,0.0,0.0263212863355875,0.026190266013145447,0.0,0.018237454816699028,0.01825338788330555
3,2141.204102,0.0,0.024708058685064316,0.02456985041499138,0.0,0.008231335319578648,0.008217752911150455
3,1000.702026,0.0,0.02474471740424633,0.024609122425317764,0.0,0.003171228338032961,0.0031404816545546055
3,463.598907,0.0,0.025293173268437386,0.025171006098389626,0.0,0.0007192862685769796,0.0006986497319303453
3,215.022903,0.0,0.026007357984781265,0.02583540976047516,0.0,-0.00037068803794682026,-0.00040603079833090305
3,99.734001,0.0,0.02671525441110134,0.02657029591500759,0.0,-0.0007507253321819007,-0.0008504037978127599
3,45.955879,0.0,0.027262140065431595,0.02719557099044323,0.0,-0.0006989736575633287,-0.0009338730596937239
3,21.502291,0.0,0.027600109577178955,0.027695419266819954,0.0,-0.000530111079569906,-0.0007620419492013752
3,9.9734,0.0,0.027800332754850388,0.027988748624920845,0.0,-0.0004389692621771246,-0.0005370434373617172
3,4.650298,0.0,0.027900654822587967,0.028253456577658653,0.0,-0.00024152921105269343,-0.0004780104791279882
3,2.170139,0.0,0.028097981587052345,0.028319256380200386,0.0,-0.00030163375777192414,-0.00047256890684366226
3,0.997765,0.0,0.028156038373708725,0.02854660339653492,0.0,-0.0004899406339973211,-0.0006757439696229994
3,0.46503,0.0,0.028357429429888725,0.02880743518471718,0.0,-0.0007889157859608531,-0.0009945749770849943
3,0.216213,0.0,0.028727632015943527,0.029300842434167862,0.0,-0.0011004123371094465,-0.0014919012319296598
3,0.10016,0.0,0.029188983142375946,0.030007589608430862,0.0,-0.0016432162374258041,-0.0022429816890507936
3,0.046429,0.0,0.029952814802527428,0.03103836439549923,0.0,-0.0024859628174453974,-0.0033562728203833103
3,0.02155,0.0,0.03092781826853752,0.03249293938279152,0.0,-0.0039425864815711975,-0.005057609640061855
3,0.010001,0.0,0.0324128121137619,0.03454234451055527,0.0,-0.006356397643685341,-0.007803378626704216
4,10019.530273,0.030418241396546364,0.030345717445015907,0.030248241499066353,0.03648572787642479,0.036529432982206345,0.03652557358145714
4,4630.334961,0.025608649477362633,0.025464413687586784,0.025333529338240623,0.01832565665245056,0.018318956717848778,0.01834002695977688
4,2141.204102,0.02399251237511635,0.023850388824939728,0.023702947422862053,0.008273323997855186,0.008291970938444138,0.008316225372254848
4,1000.702026,0.024001408368349075,0.02387258969247341,0.023708894848823547,0.0031780556309968233,0.0032044677063822746,0.003240317804738879
4,463.598907,0.02455257624387741,0.024429528042674065,0.02421880140900612,0.0006620009080506861,0.0007422255584970117,0.0007966384291648865
